#{"t_start": 1777335602.488024, "env_id": "MountainCarContinuous-v0"}
r,l,t
30.0,70,789.454645
31.0,69,790.14456
26.0,74,790.840037
30.0,70,791.559839
28.0,72,792.306758
29.0,71,793.063287
33.0,68,793.667432
26.0,74,794.336713
31.0,69,795.001494
30.0,70,795.70165
31.0,69,796.318611
29.0,71,797.007745
32.0,68,797.70144
20.0,80,798.476984
26.0,74,799.214781
31.0,69,799.919305
28.0,72,800.638074
32.0,70,801.317364
29.0,71,802.031061
26.0,74,802.789118
28.0,72,803.467855
27.0,73,804.142342
27.0,73,804.814492
31.0,69,805.415196
29.0,72,806.124791
28.0,72,806.80086
29.0,71,807.538023
31.0,69,808.342298
31.0,69,809.044585
30.0,70,809.692009
27.0,73,810.455667
30.0,70,811.130725
28.0,72,811.807707
28.0,72,812.498778
28.0,73,813.204353
32.0,69,813.896851
28.0,73,814.595199
27.0,73,815.292852
28.0,72,815.975609
30.0,71,816.664415
32.0,68,817.364313
29.0,71,817.975736
31.0,70,818.65552
22.0,78,819.400335
25.0,75,820.116223
30.0,70,820.790521
25.0,76,821.588139
32.0,68,822.245731
